Game.1,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Release_year,Mycol,Release,Month_Since_Released
Sniper Elite 3 Ultimate Edition,U&I Entertainment,,,,,01st Oct 19,19,2019-10-01,2019-10-01,427.0
Sniper Elite 4,Unknown,,,,,,,,,
Sniper Elite V2 Remastered,U&I Entertainment,,,,,15th May 19,19,2019-05-15,2019-05-15,566.0
Soi Kano: Gyutto Dakishimete,Entergram,,,,,21st Feb 19,19,2019-02-21,2019-02-21,649.0
SOL DIVIDE: Sword of Darkness,Zerodiv,,,,,22nd Mar 18,18,2018-03-22,2018-03-22,985.0
SolSeraph,Unknown,,,,,,,,,
Song of Memories,Unknown,,,,,,,,,
South Park: The Stick of Truth,Ubisoft,,,9.1,,25th Sep 18,18,2018-09-25,2018-09-25,798.0
Space Dave,Choice Provisions,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Space Invaders: Invincible Collection,Taito,,,,,26th Mar 20,20,2020-03-26,2020-03-26,250.0
Space War Arena Read the review,Unknown,7.0,,,,,,,,
Spacecats with Lasers,Bitten Toast Games,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Sparkle 2,10tons Ltd,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
Sparkle 2 EVO,Forever Entertainment S.A.,,,,,02nd Nov 17,17,2017-11-02,2017-11-02,1125.0
Sparkle 3 Genesis,Forever Entertainment S.A.,,,,,15th Mar 18,18,2018-03-15,2018-03-15,992.0
Sparkle Unleashed,Unknown,,,,,,,,,
Sparklite Read the review,Unknown,8.0,,,,,,,,
Spartan,Sinister Cyclops,,,,,01st Apr 18,18,2018-04-01,2018-04-01,975.0
Spellbreak,Proletariat Inc.,,,,,03rd Sep 20,20,2020-09-03,2020-09-03,89.0
Spellspire,10tons,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Spelunker Party!,Square Enix,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
Sphinx and the Cursed Mummy Read the review,THQ Nordic,7.0,,,,29th Jan 19,19,2019-01-29,2019-01-29,672.0
Spiral Splatter,Sometimes You,,,,,13th Mar 18,18,2018-03-13,2018-03-13,994.0
Spirit Hunter: NG,Aksys Games,,,,,10th Oct 19,19,2019-10-10,2019-10-10,418.0
Spiritfarer Read the review,Thunder Lotus Games,8.0,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Splasher,Plug In Digital,,,,,26th Oct 17,17,2017-10-26,2017-10-26,1132.0
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,THQ Nordic,,,,,23rd Jun 20,20,2020-06-23,2020-06-23,161.0
Sports Story,Sidebar Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Spot The Difference: Ultimate Edition,Sabec Limited,,,,,26th Feb 18,18,2018-02-26,2018-02-26,1009.0
Spy Chameleon - RGB Agent,Unfinished Pixel,,,,,09th Mar 18,18,2018-03-09,2018-03-09,998.0
Spyro Reignited Trilogy,"Activision Publishing, Inc.",,,,,03rd Sep 19,19,2019-09-03,2019-09-03,455.0
Squareboy vs Bullies: Arena Edition,Ratalaika Games,,,6.5,,12th Oct 17,17,2017-10-12,2017-10-12,1146.0
Star Ghost,Rainy Frog,,,,,30th Nov 17,17,2017-11-30,2017-11-30,1097.0
Star Ocean First Departure R,Unknown,,,,,,,,,
Star Ocean: First Departure R,Square Enix,,,,,05th Dec 19,19,2019-12-05,2019-12-05,362.0
Star Wars Pinball Read the review,Unknown,7.0,,,,,,,,
Stardew Valley,Chucklefish,,9.0,,,05th Oct 17,17,2017-10-05,2017-10-05,1153.0
Stardust Galaxy Warriors: Stellar Climax,Unknown,,,,,,,,,
Steam Tactics,Unknown,,,,,,,,,
SteamWorld Dig: A Fistful of Dirt,Image & Form Games,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
SteamWorld Heist: Ultimate Edition,Image & Form International AB,,,,,28th Dec 17,17,2017-12-28,2017-12-28,1069.0
SteamWorld Quest: Hand of Gilgamech,Thunderful Publishing AB,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
Steep,Ubisoft,,,,,01st Dec 18,18,2018-12-01,2018-12-01,731.0
Steins;Gate: Divergencies Assort,5pb,,,,,20th Mar 19,19,2019-03-20,2019-03-20,622.0
Steins;Gate: My Darling's Embrace,Spike Chunsoft,,,,,10th Dec 19,19,2019-12-10,2019-12-10,357.0
Steredenn: Binary Stars,Plug In Digital,,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
Steven Universe: Save the Light / OK K.O.! Let’s Play Heroes,Outright Games,,,,,19th Mar 19,19,2019-03-19,2019-03-19,623.0
Stick It To The Man,Zoink Games,,,,,23rd Nov 17,17,2017-11-23,2017-11-23,1104.0
Stikbold! A Dodgeball Adventure DELUXE,Unknown,,,8.0,,,,,,
Still There,Iceberg Interactive,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Stories Untold,Devolver Digital,,,,,16th Jan 20,20,2020-01-16,2020-01-16,320.0
Story of Seasons: Friends of Mineral Town,Xseed Games,,,,,14th Jul 20,20,2020-07-14,2020-07-14,140.0
Stranded Sails: Explorers of the Cursed Islands Read the review,Unknown,5.0,,,,,,,,
Stranger Things 3: The Game,"Netflix, Inc.",,,,,04th Jul 19,19,2019-07-04,2019-07-04,516.0
Streets of Rage 4 Read the review,DotEmu,8.0,,,,30th Apr 20,20,2020-04-30,2020-04-30,215.0
Streets of Red: Devil's Dare Deluxe,Secret Base,,,,,12th Apr 18,18,2018-04-12,2018-04-12,964.0
Streets of Rogue Read the review,Unknown,7.0,,,,,,,,
Strikers 1945,Zerodiv,,,,,03rd Aug 17,17,2017-08-03,2017-08-03,1216.0
Strikers 1945 II,Zerodiv,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Strikers 1945 III,Unknown,,,,,,,,,
SubaraCity,Flyhigh Works,,,,,31st Aug 18,18,2018-08-31,2018-08-31,823.0
Subsurface Circular,Ant Workshop,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Sudoku Relax,G-mode,,,,,18th Apr 19,19,2019-04-18,2019-04-18,593.0
Summer in Mara,Unknown,,,,,,,,,
Summer Pockets,Prototype,,,,,20th Jun 19,19,2019-06-20,2019-06-20,530.0
Super Beat Sports,Harmonix Music Systems,,,,,02nd Nov 17,17,2017-11-02,2017-11-02,1125.0
Super Blood Hockey Read the review,Digerati,6.0,,,,26th Apr 19,19,2019-04-26,2019-04-26,585.0
Super Chariot,Unknown,,,,,10th May 18,18,2018-05-10,2018-05-10,936.0
Super Crush KO Read the review,Unknown,6.0,,,,,,,,
Super Daryl Deluxe Read the review,Dan & Gary Games,8.0,,,,10th Apr 18,18,2018-04-10,2018-04-10,966.0
Super Destronaut DX,Ratalaika Games,,,,,13th Jul 18,18,2018-07-13,2018-07-13,872.0
Super Dragon Ball Heroes: World Mission,Bandai Namco Entertainment,,,,,05th Apr 19,19,2019-04-05,2019-04-05,606.0
Super Kirby Clash,Nintendo,,,,,04th Sep 19,19,2019-09-04,2019-09-04,454.0
Super Mario 3D World + Bowser's Fury,Nintendo,,,,,12th Feb 21,21,2021-02-12,2021-02-12,-73.0
Super Mario Bros. 35,Nintendo,,,,,01st Oct 20,20,2020-10-01,2020-10-01,61.0
Super Meat Boy,BlitWorks,,,8.0,,11th Jan 18,18,2018-01-11,2018-01-11,1055.0
Super Meat Boy Forever,Team Meat,,,,,26th Dec 20,20,2020-12-26,2020-12-26,-25.0
Super Mega Baseball 3,Metalhead Software Inc.,,,,,13th May 20,20,2020-05-13,2020-05-13,202.0
Super Monkey Ball: Banana Blitz HD Read the review,Sega,6.0,,,,29th Oct 19,19,2019-10-29,2019-10-29,399.0
Super Mutant Alien Assault Read the review,Unknown,6.0,,,,,,,,
Super Neptunia RPG,Idea Factory International,,,,,31st Mar 19,19,2019-03-31,2019-03-31,611.0
Super One More Jump,SMG Studio,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Super Ping Pong Trick Shot,Starsign,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
Super Robot Wars T,Bandai Namco Games,,,,,20th Mar 19,19,2019-03-20,2019-03-20,622.0
Super Robot Wars V,Bandai Namco Entertainment,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Super Rocket Shootout,Plug In Digital,,,,,06th Mar 18,18,2018-03-06,2018-03-06,1001.0
Super Sportmatchen,DANGEN Entertainment,,,8.5,,24th May 18,18,2018-05-24,2018-05-24,922.0
Super Toy Cars,Eclipse Games,,,,,02nd Mar 18,18,2018-03-02,2018-03-02,1005.0
Superbrothers: Sword & Sworcery EP,Capybara Games,,,,,30th Oct 18,18,2018-10-30,2018-10-30,763.0
Superliminal,Pillow Castle,,,,,07th Jul 20,20,2020-07-07,2020-07-07,147.0
Superola and the Lost Burgers,Undergames,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
Swim Out,Lozange Lab,,,,,20th Mar 18,18,2018-03-20,2018-03-20,987.0
Sword Art Online: Fatal Bullet,Bandai Namco Entertainment,,,,,09th Aug 19,19,2019-08-09,2019-08-09,480.0
Sword Art Online: Hollow Realization,Bandai Namco Entertainment,,,,,24th May 19,19,2019-05-24,2019-05-24,557.0
Swordbreaker The Game,Unknown,,,,,,,,,
Syberia 3,Anuman,,,,,01st Jan 18,18,2018-01-01,2018-01-01,1065.0
Tachyon Project,Eclipse Games,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Tactical Mind,QubicGames,,,,,22nd Dec 17,17,2017-12-22,2017-12-22,1075.0
Taishou x Alice: All in One,Prototype,,,,,18th Apr 19,19,2019-04-18,2019-04-18,593.0
Tales From Space: Mutant Blobs Attack,Unknown,,,,,,,,,
Tales of the Tiny Planet,Pixelsplit,,,,,17th Jan 18,18,2018-01-17,2018-01-17,1049.0
Tales of Vesperia: Definitive Edition,Bandai Namco Entertainment,,,,,11th Jan 19,19,2019-01-11,2019-01-11,690.0
Tallowmere,Teyon,,,,,09th Nov 17,17,2017-11-09,2017-11-09,1118.0
Tangledeep,Impact Gameworks,,,9.7,,31st Jan 19,19,2019-01-31,2019-01-31,670.0
Tanzia,Unknown,,,,,,,,,
Team Sonic Racing,Sega,,,,,21st May 19,19,2019-05-21,2019-05-21,560.0
Telling Lies,Annapurna Interactive,,,,,28th Apr 20,20,2020-04-28,2020-04-28,217.0
TENGAI,Zerodiv,,,,,29th Mar 18,18,2018-03-29,2018-03-29,978.0
Tennis,D3Publisher,,,,,25th Jan 18,18,2018-01-25,2018-01-25,1041.0
Tennis 1920s Read the review,Unknown,5.0,,,,,,,,
Tennis in the Face,Myth People,,,,,08th Dec 17,17,2017-12-08,2017-12-08,1089.0
Tennis World Tour 2,Nacon,,,,,15th Oct 20,20,2020-10-15,2020-10-15,47.0
Terraria Read the review,505 Games,7.0,,,,27th Jun 19,19,2019-06-27,2019-06-27,523.0
Tesla vs Lovecraft,10tons,,,,,16th Mar 18,18,2018-03-16,2018-03-16,991.0
Teslagrad,Rain Games,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
TETRA's Escape,Unknown,,,,,,,,,
Tetris 99,Nintendo,,,,,13th Feb 19,19,2019-02-13,2019-02-13,657.0
The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,Chorus Worldwide Games,,,,,29th Mar 18,18,2018-03-29,2018-03-29,978.0
The Alliance Alive HD Remastered,NIS America,,,,,08th Oct 19,19,2019-10-08,2019-10-08,420.0
The Almost Gone,Playdigious,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
The Aquatic Adventure of the Last Human Read the review,Digerati,7.0,,,,03rd Jan 19,19,2019-01-03,2019-01-03,698.0
The Banner Saga,Versus Evil,,,,,17th May 18,18,2018-05-17,2018-05-17,929.0
The Banner Saga 2,Versus Evil,,,,,07th Jun 18,18,2018-06-07,2018-06-07,908.0
The Banner Saga 3,Versus Evil,,,,,26th Jul 18,18,2018-07-26,2018-07-26,859.0
The Book of Unwritten Tales 2,THQ Nordic,,,8.5,,31st May 19,19,2019-05-31,2019-05-31,550.0
The Bradwell Conspiracy,Unknown,,,,,,,,,
The Bridge,The Quantum Astrophysicists Guild,,,,,07th Sep 17,17,2017-09-07,2017-09-07,1181.0
The Bunker,Wales Interactive Ltd.,,,,,09th Apr 18,18,2018-04-09,2018-04-09,967.0
The Caligula Effect: Overdose,NIS America,,,6.0,,15th Mar 19,19,2019-03-15,2019-03-15,627.0
The Charming Empire,D3Publisher,,,,,29th Mar 18,18,2018-03-29,2018-03-29,978.0
The Church in the Darkness,Paranoid Productions,,,,,02nd Aug 19,19,2019-08-02,2019-08-02,487.0
The Coma 2: Vicious Sisters,Digerati,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
The Coma: Recut,Digerati,,,7.8,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
The Complex Read the review,Unknown,5.0,,,,,,,,
The Count Lucanor,Merge Games,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
The Dark Crystal: Age of Resistance Tactics,En Masse Entertainment,,,,,04th Feb 20,20,2020-02-04,2020-02-04,301.0
The Darkside Detective,Unknown,,,,,,,,,
The Deer God,Level 77,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
The Demon Crystal II: Knither,Regista,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
The Elder Scrolls: Blades,Bethesda Softworks,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
The Elder Scrolls: Legends,Unknown,,,,,,,,,
The Experience! Sports Pack: Tennis - Bowling - Golf - Billiards,D3 Publisher,,,,,04th Apr 19,19,2019-04-04,2019-04-04,607.0
The Eyes of Ara Read the review,Unknown,7.0,,,,,,,,
The Fall Read the review,Unknown,6.0,,,,,,,,
The Fall Part 2: Unbound Read the review,Over The Moon,5.0,,,,13th Feb 18,18,2018-02-13,2018-02-13,1022.0
The Final Station Read the review,TinyBuild Games,7.0,,,,23rd Feb 18,18,2018-02-23,2018-02-23,1012.0
The Flame In The Flood,The Molasses Flood,,,,,12th Oct 17,17,2017-10-12,2017-10-12,1146.0
The Fox Is Waiting For Me,Unknown,,,,,,,,,
The friends of Ringo Ishikawa,CIRCLE Entertainment,,,,,04th Apr 19,19,2019-04-04,2019-04-04,607.0
The Gardens Between,The Voxel Agents,,,,,20th Sep 18,18,2018-09-20,2018-09-20,803.0
The Good Life,White Owls,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
The House in Fata Morgana: Dreams of the Revenants Edition,Unknown,,,,,,,,,
The Jackbox Party Pack,Jackbox Games,,,,,17th Aug 17,17,2017-08-17,2017-08-17,1202.0
The Jackbox Party Pack 2,Jackbox Games,,,,,17th Aug 17,17,2017-08-17,2017-08-17,1202.0
The Jackbox Party Pack 3,Jackbox Games,,,,,13th Apr 17,17,2017-04-13,2017-04-13,1328.0
The Jackbox Party Pack 4,Jackbox Games,,,,,19th Oct 17,17,2017-10-19,2017-10-19,1139.0
The Jackbox Party Pack 5,Jackbox Games,,,,,17th Oct 18,18,2018-10-17,2018-10-17,776.0
The Last Campfire,Hello Games,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
The Last Remnant Remastered,Square-Enix,,,,,10th Jun 19,19,2019-06-10,2019-06-10,540.0
The Last Spell,CCCP,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
The Legend of Heroes: Trails of Cold Steel III,NIS America,,,,,30th Jun 20,20,2020-06-30,2020-06-30,154.0
The Legend of Zelda: Breath of the Wild 2,Nintendo,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
The LEGO Movie 2 Video Game,Warner Bros. Interactive,,,,,26th Mar 19,19,2019-03-26,2019-03-26,616.0
The Lion's Song,Mipumi Games GmbH,,,,,10th Jul 18,18,2018-07-10,2018-07-10,875.0
The Long Dark,Unknown,,,,,,,,,
The Long Reach,Merge Games,,,,,14th Mar 18,18,2018-03-14,2018-03-14,993.0
The Lord of the Rings: Adventure Card Game,Asmodee Digital,,,,,28th Aug 19,19,2019-08-28,2019-08-28,461.0
The Lord of the Rings: Adventure Card Game,Asmodee Digital,,,,,05th Nov 19,19,2019-11-05,2019-11-05,392.0
The Men of Yoshiwara: Kikuya,D3Publisher,,,,,01st Feb 18,18,2018-02-01,2018-02-01,1034.0
The Men of Yoshiwara: Ohgiya,D3 Publisher,,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
The Messenger Read the review,Sabotage,8.0,,,,29th Aug 18,18,2018-08-29,2018-08-29,825.0
The Mummy Demastered Read the review,WayForward Technologies,,,,,24th Oct 17,17,2017-10-24,2017-10-24,1134.0
The Next Penelope,Plug In Digital,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
The Ninja Saviors: Return of the Warriors,Arc System Works,,,,,30th Aug 19,19,2019-08-30,2019-08-30,459.0
The Outer Worlds,Private Division,,,,,05th Jun 20,20,2020-06-05,2020-06-05,179.0
The Persistence,Perp Games,,,,,21st May 20,20,2020-05-21,2020-05-21,194.0
The Raven Remastered,THQ Nordic,,,,,22nd Jan 19,19,2019-01-22,2019-01-22,679.0
The Red Lantern,"Timberline Studio, Inc.",,,,,30th Dec 20,20,2020-12-30,2020-12-30,-29.0
The Room,Team17 Digital Ltd,,,,,18th Oct 18,18,2018-10-18,2018-10-18,775.0
The Sexy Brutale,Tequila Works,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
The Spectrum Retreat,Unknown,,,,,,,,,
The Stillness of the Wind,Fellow Traveller,,,,,07th Feb 19,19,2019-02-07,2019-02-07,663.0
The Stretchers,Nintendo,,,,,08th Nov 19,19,2019-11-08,2019-11-08,389.0
The Survivalists Read the review,Team17,5.0,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
The Swindle,Curve Digital,,,,,11th Oct 18,18,2018-10-11,2018-10-11,782.0
The Swords of Ditto: Mormo's Curse,Devolver Digital,,,,,02nd May 19,19,2019-05-02,2019-05-02,579.0
The Three Kingdoms Love Story ~ The Art of Otome!,Prototype,,,,,22nd Nov 18,18,2018-11-22,2018-11-22,740.0
The Touryst,Shin'en Multimedia,,,,,21st Nov 19,19,2019-11-21,2019-11-21,376.0
The Trail: Frontier Challenge,Kongregate,,,,,08th Mar 18,18,2018-03-08,2018-03-08,999.0
The Turing Test,Square Enix,,,,,07th Feb 20,20,2020-02-07,2020-02-07,298.0
The Vanishing of Ethan Carter,The Astronauts,,,,,15th Aug 19,19,2019-08-15,2019-08-15,474.0
The Variety Game Large Set: Goldfish Scooping - Card - Number Puzzle - Nikakudori,D3 Publisher,,,,,04th Apr 19,19,2019-04-04,2019-04-04,607.0
The Walking Dead - A Telltale Series - The Final Season,Telltale Games,,,,,13th Aug 18,18,2018-08-13,2018-08-13,841.0
The Walking Dead: Season Two,Unknown,,,,,,,,,
The Wardrobe,Unknown,,,,,,,,,
The Way Remastered,SONKA,,,,,20th Apr 18,18,2018-04-20,2018-04-20,956.0
The Wonderful 101: Remastered,PlatinumGames,,,,,19th May 20,20,2020-05-19,2020-05-19,196.0
The World Next Door,VIZ Media,,,,,28th Mar 19,19,2019-03-28,2019-03-28,614.0
Thimbleweed Park,Terrible Toybox,,,,,21st Sep 17,17,2017-09-21,2017-09-21,1167.0
This is the Zodiac Speaking,Unknown,,,,,,,,,
This War of Mine: Complete Edition Read the review,Unknown,6.0,,,,,,,,
Those Who Remain,Wired Productions,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Thronebreaker: The Witcher Tales Read the review,Unknown,7.0,,,,,,,,
Through the Darkest of Times,Unknown,,,,,,,,,
Thumper,Drool,,9.0,9.3,,18th May 17,17,2017-05-18,2017-05-18,1293.0
Time Recoil,10tons,,,,,26th Oct 17,17,2017-10-26,2017-10-26,1132.0
TINY METAL,Unties,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Tiny Metal: Full Metal Rumble,"AREA 34, Inc.",,,,,11th Jul 19,19,2019-07-11,2019-07-11,509.0
Tiny Troopers Joint Ops XL,Wired Productions,,,,,21st Dec 17,17,2017-12-21,2017-12-21,1076.0
Tlicolity Eyes: Twinkle Snowtime,Idea Factory,,,,,18th Jul 19,19,2019-07-18,2019-07-18,502.0
To All of Mankind,Nippon Ichi Software,,,,,27th Jun 19,19,2019-06-27,2019-06-27,523.0
ToeJam & Earl: Back in the Groove,Unknown,,,,,,,,,
Toki Tori,Two Tribes,,,,,30th Mar 18,18,2018-03-30,2018-03-30,977.0
Toki Tori 2+,Two Tribes,,,,,23rd Feb 18,18,2018-02-23,2018-02-23,1012.0
Tokyo Dark: Remembrance,Unties,,,,,07th Nov 19,19,2019-11-07,2019-11-07,390.0
Tokyo Mirage Sessions #FE Encore,Nintendo,,,,,17th Jan 20,20,2020-01-17,2020-01-17,319.0
Tokyo Ogre Gate,Unknown,,,,,,,,,
Torchlight II Read the review,Runic Games,8.0,,,,03rd Sep 19,19,2019-09-03,2019-09-03,455.0
TorqueL: Physics Modified Edition,Active Gaming Media,,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Totes the Goat,Atooi,,,,,01st Mar 18,18,2018-03-01,2018-03-01,1006.0
Touch Battle Tank SP,SilverStar,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Touhou Genso Wanderer: Lotus Labyrinth,Unties,,,,,18th Jul 19,19,2019-07-18,2019-07-18,502.0
Touhou Luna Nights,Vaka Game Magazine,,,,,01st Dec 19,19,2019-12-01,2019-12-01,366.0
Touhou Spell Bubble,Unknown,,,,,,,,,
Tower Of Babel,EnjoyUp Games,,,,,28th Sep 17,17,2017-09-28,2017-09-28,1160.0
TowerFall,Matt Makes Games Inc.,,,,,27th Sep 18,18,2018-09-27,2018-09-27,796.0
Transcripted,Plug In Digital,,,,,23rd Nov 17,17,2017-11-23,2017-11-23,1104.0
Transformers: Battlegrounds,Outright Games,,,,,23rd Oct 20,20,2020-10-23,2020-10-23,39.0
Transistor,Supergiant Games,,,,,01st Nov 18,18,2018-11-01,2018-11-01,761.0
Travis Strikes Again: No More Heroes,Grasshopper Manufacture Inc.,,8.0,,,18th Jan 19,19,2019-01-18,2019-01-18,683.0
Trials of Mana Read the review,Square Enix,7.0,,,,24th Apr 20,20,2020-04-24,2020-04-24,221.0
Trials Rising,Ubisoft,,,,,26th Feb 19,19,2019-02-26,2019-02-26,644.0
Trine 4: The Nightmare Prince Read the review,Modus Games,7.0,,,,08th Oct 19,19,2019-10-08,2019-10-08,420.0
Trine Enchanted Edition Read the review,Frozenbyte,7.0,,,,09th Nov 18,18,2018-11-09,2018-11-09,753.0
Trüberbrook,Merge Games,,,,,19th Mar 19,19,2019-03-19,2019-03-19,623.0
Tsukue de Bowling,SAT-BOX,,,,,25th Apr 19,19,2019-04-25,2019-04-25,586.0
TumbleSeed,aeiowu,,7.0,,,02nd May 17,17,2017-05-02,2017-05-02,1309.0
Tumblestone,The Quantum Astrophysicists Guild,,,,,05th Oct 17,17,2017-10-05,2017-10-05,1153.0
Turok 2: Seeds of Evil,"Night Dive Studios, LLC",,,,,09th Aug 19,19,2019-08-09,2019-08-09,480.0
TurtlePop : Journey to Freedom,DigiPen Game Studios,,,,,09th Mar 18,18,2018-03-09,2018-03-09,998.0
Twin Robots Ultimate Edition,Ratalaika Games,,,7.6,,23rd Feb 18,18,2018-02-23,2018-02-23,1012.0
Two Point Hospital,Sega,,,,,25th Feb 20,20,2020-02-25,2020-02-25,280.0
Typoman,Wales Interactive Ltd.,,,,,22nd Feb 18,18,2018-02-22,2018-02-22,1013.0
UBERMOSH:BLACK Read the review,Unknown,5.0,,,,,,,,
Ultimate Fishing Simulator 2,Ultimate Games,,,,,01st Dec 21,21,2021-12-01,2021-12-01,-365.0
Ultra Hyperball,Springloaded,,,,,28th Jul 17,17,2017-07-28,2017-07-28,1222.0
Ultra Space Battle Brawl Read the review,Unknown,5.0,,,,,,,,
Ultracore Read the review,Unknown,6.0,,,,,,,,
Umihara Kawase BaZooKa! Read the review,Success,4.0,,,,28th May 20,20,2020-05-28,2020-05-28,187.0
Umihara Kawase Fresh!,Nicalis,,,,,09th Jul 19,19,2019-07-09,2019-07-09,511.0
Under Night In-Birth Exe:Late[cl-r],Aksys Games,,,,,20th Feb 20,20,2020-02-20,2020-02-20,285.0
Underhero Read the review,Unknown,6.0,,,,,,,,
Unepic,Francis Cota,,,,,15th Dec 17,17,2017-12-15,2017-12-15,1082.0
Unexplored: Unlocked Edition Read the review,Unknown,6.0,,,,,,,,
Unholy Heights,Mebius,,,,,14th Dec 17,17,2017-12-14,2017-12-14,1083.0
UNO,Ubisoft,,,,,07th Nov 17,17,2017-11-07,2017-11-07,1120.0
Unravel Two,Electronic Arts,,,,,22nd Mar 19,19,2019-03-22,2019-03-22,620.0
Unruly Heroes Read the review,Unknown,7.0,,9.0,,,,,,
Untitled Goose Game Read the review,Panic,7.0,,,,20th Sep 19,19,2019-09-20,2019-09-20,438.0
Urban Trial Playground,Tate Multimedia,,,,,05th Apr 18,18,2018-04-05,2018-04-05,971.0
Use Your Words,"Smiling Buddha Games, LLC.",,,,,03rd Aug 17,17,2017-08-03,2017-08-03,1216.0
Uurnog Uurnlimited,Raw Fury,,,,,21st Nov 17,17,2017-11-21,2017-11-21,1106.0
V-Rally 4,Bigben Interactive,,,,,19th Feb 19,19,2019-02-19,2019-02-19,651.0
VA-11 HALL-A,Ysbryd Games,,,,,02nd May 19,19,2019-05-02,2019-05-02,579.0
Vaccine,Rainy Frog,,,,,06th Jul 17,17,2017-07-06,2017-07-06,1244.0
Valfaris Read the review,Big Sugar,7.0,,,,01st Nov 19,19,2019-11-01,2019-11-01,396.0
Valiant Hearts: The Great War,Unknown,,,,,,,,,
Valkyria Chronicles,Sega,,,,,16th Oct 18,18,2018-10-16,2018-10-16,777.0
Valkyrie of Phantasm,Area Zero,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Valthirian Arc: Hero School Story,Unknown,,,,,,,,,
Vambrace: Cold Soul,Headup Games,,,,,29th Aug 19,19,2019-08-29,2019-08-29,460.0
Vampire: The Masquerade – Coteries of New York,Draw Distance,,,,,24th Mar 20,20,2020-03-24,2020-03-24,252.0
Vampire: The Masquerade – Shadows of New York,Draw Distance,,,,,10th Sep 20,20,2020-09-10,2020-09-10,82.0
Vampyr,Focus Home Interactive,,,,,29th Oct 19,19,2019-10-29,2019-10-29,399.0
Vaporum,Merge Games,,,,,11th Apr 19,19,2019-04-11,2019-04-11,600.0
Vasara Collection,QUByte Interactive,,,,,15th Aug 19,19,2019-08-15,2019-08-15,474.0
Velocity 2X Read the review,Unknown,8.0,,,,,,,,
Vesta,FinalBoss Games,,,,,19th Jan 18,18,2018-01-19,2018-01-19,1047.0
Vigil: The Longest Night Headed,Another Indie,,,,,01st Dec 20,20,2020-12-01,2020-12-01,0.0
Violett,Forever Entertainment S.A.,,,,,26th Oct 17,17,2017-10-26,2017-10-26,1132.0
Vitamin Connection Read the review,Unknown,6.0,,,,,,,,
Void Bastards,Humble Bundle,,,,,07th May 20,20,2020-05-07,2020-05-07,208.0
Volgarr the Viking,Crazy Viking Studios,,,,,05th Oct 17,17,2017-10-05,2017-10-05,1153.0
Vostok Inc.,Wired Productions,,,,,07th Dec 17,17,2017-12-07,2017-12-07,1090.0
Vroom in the Night Sky,Poisoft,,,,,05th Apr 17,17,2017-04-05,2017-04-05,1336.0
VVVVVV,Nicalis,,,,,17th Nov 17,17,2017-11-17,2017-11-17,1110.0
Wanderjahr: Try Again or Walk Away,"Corecell Technology Co.,Ltd.",,,,,15th Feb 18,18,2018-02-15,2018-02-15,1020.0
Wandersong,Humble Bundle,,,,,27th Sep 18,18,2018-09-27,2018-09-27,796.0
